Codigo;Nome;Unidade;Periodo;Inicio;Ultimo;Fonte;Especial
173;Fundo de conversão-capital estrangeiro - Aplicações em títulos privados;u.m.c. (mil);M;31/05/1993;01/08/2000;Sisbacen PESP300;N
174;Fundo de conversão-capital estrangeiro - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/08/2000;Sisbacen PESP300;N
175;Fundo de conversão-capital estrangeiro - Outras aplicações;u.m.c. (mil);M;31/05/1993;01/08/2000;Sisbacen PESP300;N
176;Fundo de renda fixa-capital estrangeiro - Aplicações em títulos federais;u.m.c. (mil);M;31/05/1993;01/03/2001;Sisbacen PESP300;N
177;Fundo de renda fixa-capital estrangeiro - Aplicações em títulos de renda fixa;u.m.c. (mil);M;31/05/1993;01/03/2001;Sisbacen PESP300;N
178;Fundo de renda fixa-capital estrangeiro - Aplicações em valores mobiliários;u.m.c. (mil);M;31/05/1993;01/03/2001;Sisbacen PESP300;N
179;Fundo de renda fixa-capital estrangeiro - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/03/2001;Sisbacen PESP300;N
180;Fundo de renda fixa-capital estrangeiro - Aplicações em ações;u.m.c. (mil);M;31/05/1993;01/03/2001;Sisbacen PESP300;N
181;Depósitos especiais remunerados - Crédito rural;u.m.c. (mil);M;31/08/1991;01/12/1995;Sisbacen PDER300;N
182;Depósitos especiais remunerados - Depósito interfinanceiro rural;u.m.c. (mil);M;31/08/1991;01/12/1995;Sisbacen PDER300;N
183;Depósitos especiais remunerados - Recolhimento especial remunerado;u.m.c. (mil);M;31/08/1991;01/12/1995;Sisbacen PDER300;N
184;Depósitos especiais remunerados - Operações com lastro do SFH;u.m.c. (mil);M;31/08/1991;01/12/1995;Sisbacen PDER300;N
185;Depósitos especiais remunerados - Títulos federais;u.m.c. (mil);M;31/08/1991;01/12/1995;Sisbacen PDER300;N
186;Depósitos especiais remunerados - Títulos estaduais ou municipais;u.m.c. (mil);M;31/08/1991;01/12/1995;Sisbacen PDER300;N
187;Depósitos especiais remunerados - Circular 2369;u.m.c. (mil);M;30/09/1993;01/12/1995;Sisbacen PDER300;N
188;Índice nacional de preços ao consumidor (INPC);Var. % mensal;M;30/04/1979;01/07/2022;IBGE;N
189;Índice geral de preços do mercado (IGP-M);Var. % mensal;M;30/06/1989;01/07/2022;FGV;N
190;Índice geral de preços-disponibilidade interna (IGP-DI);Var. % mensal;M;29/02/1944;01/07/2022;FGV;N
191;Índice de preços ao consumidor-Brasil (IPC-Br);Var. % mensal;M;31/01/1990;01/07/2022;FGV;N
192;Índice nacional de custo da construção (INCC);Var. % mensal;M;29/02/1944;01/07/2022;FGV;N
193;Índice de preços ao consumidor-São Paulo (IPC-Fipe);Var. % mensal;M;28/02/1939;01/07/2022;Fipe;N
194;Índice de custo de vida (ICV);Var. % mensal;M;31/01/1993;01/02/2020;Dieese;N
196;Depósitos de poupança a partir de 04.05.2012 - Rentabilidade no período (1º dia do mês);% a.m.;M;01/06/2012;01/08/2022;BCB-Demab;N
206;Cesta básica;u.m.c.;M;01/03/1990;01/09/2019;Procon-SP;N
207;Poupança SBPE - Exigibilidades;u.m.c. (mil);M;30/04/1992;01/11/1997;Sisbacen PESP300;N
208;Poupança SBPE - Aplicações;u.m.c. (mil);M;31/03/1992;01/10/1997;Sisbacen PESP300;N
209;Poupança rural - Exigibilidades;u.m.c. (mil);M;31/12/1991;01/06/1996;Sisbacen PESP300;N
210;Poupança rural - Aplicações;u.m.c. (mil);M;31/12/1991;01/06/1996;Sisbacen PESP300;N
212;Fundo de aplicações financeiras - Aplicações em títulos do Banco Central;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PESP300;N
216;Fundo de renda fixa-curto prazo - Aplicações em depósitos obrigatórios;u.m.c. (mil);M;02/05/1994;01/11/1995;Sisbacen PFAF360;N
217;Fundo de renda fixa-curto prazo - Aplicações em operações compromissadas;u.m.c. (mil);M;02/05/1994;01/11/1995;Sisbacen PFAF360;N
218;Fundo de renda fixa-curto prazo - Aplicações em quotas FIEX;u.m.c. (mil);M;02/05/1994;01/11/1995;Sisbacen PFAF360;N
219;Fundo de renda fixa-curto prazo - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;02/05/1994;01/11/1995;Sisbacen PFAF360;N
220;Fundo de renda fixa-curto prazo - Aplicações em títulos do Banco Central;u.m.c. (mil);M;02/05/1994;01/11/1995;Sisbacen PFAF360;N
221;Fundo de renda fixa-curto prazo - Aplicações em títulos privados;u.m.c. (mil);M;02/05/1994;01/11/1995;Sisbacen PFAF360;N
