DATE;VAR_3
2014-12-01;1.71926519076779
2015-01-01;2.549900199600794
2015-02-01;3.274220293711712
2015-03-01;3.8277181971792156
2015-04-01;3.284268405430388
2015-05-01;2.7944831432046473
2015-06-01;2.256800292271416
2015-07-01;2.165274110228284
2015-08-01;1.6379834447925752
2015-09-01;1.3857214776389042
2015-10-01;1.5872320508356983
2015-11-01;2.388045966433925
2015-12-01;2.8157121543573216
2016-01-01;3.2746626720684473
2016-02-01;3.1621521419182437
2016-03-01;2.62064422223063
2016-04-01;1.9519892401043601
2016-05-01;1.8306840507233275
2016-06-01;1.7495423906725787
2016-07-01;1.6585292247335035
2016-08-01;1.315657197613812
2016-09-01;1.0431431561581381
2016-10-01;0.7818082735544369
2016-11-01;0.5210334533877792
2016-12-01;0.7419001672808752
2017-01-01;0.8624280959254154
2017-02-01;1.013353159351622
2017-03-01;0.963000188454044
2017-04-01;0.7215494852779964
2017-05-01;0.7015034295492161
2017-06-01;0.21942513931838917
2017-07-01;0.3195649112342763
2017-08-01;0.199446257905068
2017-09-01;0.591026577571193
2017-10-01;0.7716970108611525
2017-11-01;0.8623407451365911
2017-12-01;1.1444547536120397
2018-01-01;1.013469910371324
2018-02-01;1.0537455157591937
2018-03-01;0.7015210130866473
2018-04-01;0.6311451471590334
2018-05-01;0.7114121095724169
2018-06-01;1.8887284258576682
2018-07-01;2.0006691066217277
2018-08-01;1.5029036331044445
2018-09-01;0.7209889661133182
2018-10-01;0.8413174185109575
2018-11-01;0.7200547407723799
2018-12-01;0.38930647158042575
2019-01-01;0.25942014503233335
2019-02-01;0.9024203951721694
2019-03-01;1.5068785890315195
2019-04-01;1.759844281629791
2019-05-01;1.4559451091958775
2019-06-01;0.7107718634777253
2019-07-01;0.3303258318641656
2019-08-01;0.31033325341645246
2019-09-01;0.2602473596495714
2019-10-01;0.17017024681384288
2019-11-01;0.5703709227465745
2019-12-01;1.7676516496296721
2020-01-01;1.8793939312869954
2020-02-01;1.6158531948225732
2020-03-01;0.5308021239603361
2020-04-01;0.009190797198490865
2020-05-01;-0.6192993124093804
2020-06-01;-0.43058882039603225
2020-07-01;0.2385636666785496
2020-08-01;0.8624438733726885
2020-09-01;1.2447750992402526
2020-10-01;1.7492324071076908
2020-11-01;2.408977388538606
2020-12-01;3.131450827653362
2021-01-01;2.507668091178567
2021-02-01;2.4771622084672953
2021-03-01;2.0524800425854113
2021-04-01;2.1135565764760655
2021-05-01;2.083262930796828
2021-06-01;1.6786731327712963
2021-07-01;2.337539592889345
2021-08-01;2.3780568545323995
2021-09-01;3.019594521991419
2021-10-01;3.3154975563783986
2021-11-01;3.3975204431548307
2021-12-01;2.9580045119536478
2022-01-01;2.236101626482301
2022-02-01;2.296858463812344
2022-03-01;3.2007960732282847
2022-04-01;3.734546382386735
2022-05-01;3.179925473513498
2022-06-01;2.215350708446738
2022-07-01;0.45543704409294405
