;ES=F;YM=F;NQ=F;RTY=F;ZB=F;ZN=F;ZF=F;ZT=F;GC=F;MGC=F;SI=F;SIL=F;PL=F;HG=F;PA=F;CL=F;HO=F;NG=F;RB=F;BZ=F;B0=F;ZC=F;ZO=F;KE=F;ZR=F;ZM=F;ZL=F;ZS=F;GF=F;HE=F;LE=F;CC=F;KC=F;CT=F;LBS=F;OJ=F;SB=F
2010-07-01;1098.25;10417.0;1862.25;;128.71875;123.8125;119.828125;109.5625;1181.699951171875;;17.98699951171875;;1576.800048828125;3.306999921798706;500.0;78.94999694824219;2.0427000522613525;4.922999858856201;2.106600046157837;78.18000030517578;;392.75;271.0;674.5;1055.5;310.8999938964844;39.83000183105469;1052.5;113.7249984741211;85.82499694824219;92.6500015258789;3091.0;176.3000030517578;82.36000061035156;209.0;;19.56999969482422
2010-08-01;1048.25;10006.0;1766.5;;136.4375;126.5;121.0703125;109.71875;1248.300048828125;;19.398000717163086;;1523.5;3.3610000610351562;500.3999938964844;71.91999816894531;1.9944000244140625;3.815999984741211;1.8894000053405762;74.63999938964844;;424.5;265.75;687.75;1108.5;304.20001220703125;39.47999954223633;1008.0;114.0999984741211;75.1500015258789;97.25;2698.0;176.8000030517578;89.08000183105469;204.5;;19.75
2010-09-01;1136.75;10723.0;1995.5;;133.71875;126.046875;121.5;109.9140625;1307.800048828125;;21.79800033569336;;1652.0;3.6459999084472656;571.25;79.97000122070312;2.24399995803833;3.871999979019165;2.044800043106079;82.30999755859375;;495.75;342.0;707.75;1256.5;302.1000061035156;44.70000076293945;1106.75;109.92500305175781;77.7750015258789;96.69999694824219;2814.0;183.0500030517578;104.18000030517578;227.0;;25.299999237060547
2010-10-01;1179.75;11066.0;2122.0;;130.9375;126.28125;121.578125;109.9921875;1357.0999755859375;135.75999450683594;24.559999465942383;;1705.0999755859375;3.7320001125335693;645.0999755859375;81.43000030517578;2.220099925994873;4.038000106811523;2.1045000553131104;83.1500015258789;;582.0;368.0;771.0;1442.5;337.70001220703125;49.29999923706055;1226.0;110.32499694824219;66.19999694824219;98.8499984741211;2797.0;203.4499969482422;125.26000213623047;257.0;;29.1200008392334
2010-11-01;1179.5;10996.0;2117.0;;128.71875;125.046875;120.625;109.78125;1385.0;138.5;28.184999465942383;;1650.4000244140625;3.822999954223633;700.9500122070312;84.11000061035156;2.3169000148773193;4.179999828338623;2.265199899673462;85.91999816894531;;530.0;340.0;730.0;1388.0;338.6000061035156;50.650001525878906;1243.0;119.17500305175781;69.0250015258789;103.07499694824219;2772.0;200.9499969482422;126.2300033569336;247.0;;27.549999237060547
2010-12-01;1253.0;11513.0;2216.0;;122.125;120.4375;118.71875;109.640625;1421.0999755859375;142.13999938964844;30.90999984741211;;1773.300048828125;4.439499855041504;803.2999877929688;91.37999725341797;2.5436999797821045;4.40500020980835;2.453200101852417;94.75;;629.0;394.0;851.0;1399.5;370.29998779296875;57.7400016784668;1393.75;121.875;79.75;107.9000015258789;3035.0;240.5;144.80999755859375;302.0;;32.119998931884766
2011-01-01;1282.5;11840.0;2280.0;;120.625;120.796875;118.4140625;109.59375;1333.800048828125;133.3800048828125;28.173999786376953;;1797.5;4.451000213623047;819.0;92.19000244140625;2.746799945831299;4.420000076293945;2.490600109100342;101.01000213623047;;659.5;396.0;924.75;1551.0;380.29998779296875;57.880001068115234;1413.0;128.0;87.25;108.94999694824219;3352.0;244.8000030517578;168.44000244140625;310.0;;33.970001220703125
2011-02-01;1326.0;12214.0;2350.75;;121.9375;120.34375;117.875;109.4921875;1409.300048828125;140.99000549316406;33.80400085449219;;1809.199951171875;4.478000164031982;797.6500244140625;96.97000122070312;2.925800085067749;4.0370001792907715;2.729599952697754;111.80000305175781;;722.5;371.25;902.5;1385.0;356.3999938964844;56.77000045776367;1357.25;130.0749969482422;88.80000305175781;112.0250015258789;3757.0;271.70001220703125;205.13999938964844;288.8999938964844;;32.5099983215332
2011-03-01;1321.0;12252.0;2336.25;;120.1875;119.03125;117.7890625;109.4765625;1438.9000244140625;143.88999938964844;37.87200164794922;;1779.300048828125;4.300000190734863;767.9000244140625;106.72000122070312;3.0897998809814453;4.388999938964844;3.107599973678589;117.36000061035156;;693.25;367.25;908.0;1398.5;370.70001220703125;58.779998779296875;1410.25;134.02499389648438;93.7249984741211;121.55000305175781;2952.0;264.1499938964844;200.22999572753906;303.3999938964844;;27.110000610351562
2011-04-01;1359.75;12756.0;2400.75;;122.375;121.140625;118.46875;109.5625;1556.0;155.63999938964844;48.58399963378906;;1871.5;4.165500164031982;791.9500122070312;113.93000030517578;3.2558000087738037;4.697999954223633;3.4647998809814453;125.88999938964844;;754.0;342.5;893.0;1480.5;358.1000061035156;58.130001068115234;1392.75;131.89999389648438;95.2750015258789;117.05000305175781;3390.0;299.3500061035156;178.77999877929688;237.0;;23.3799991607666
2011-05-01;1344.0;12558.0;2371.75;;126.15625;124.03125;120.28125;109.9609375;1535.9000244140625;153.58999633789062;38.303001403808594;;1834.0;4.173500061035156;778.9500122070312;102.69999694824219;3.056299924850464;4.665999889373779;3.150399923324585;116.7300033569336;;747.5;386.0;908.0;1506.0;355.29998779296875;58.4900016784668;1376.0;124.375;90.17500305175781;103.75;2999.0;264.6000061035156;158.6699981689453;243.5;;23.18000030517578
2011-06-01;1315.5;12345.0;2321.0;;123.03125;122.328125;120.421875;109.953125;1502.300048828125;150.27999877929688;34.8120002746582;;1724.800048828125;4.271999835968018;759.4000244140625;95.41999816894531;2.9326999187469482;4.374000072479248;3.031599998474121;112.4800033569336;;629.0;334.0;688.75;1388.5;332.20001220703125;55.040000915527344;1306.25;138.0749969482422;94.4000015258789;112.75;3170.0;265.3500061035156;159.7899932861328;244.89999389648438;;28.360000610351562
